text,label,cleaned_text,label_encoded
Farmers adopt sustainable agriculture practices,Real,farmer adopt sustainable agriculture practice,0
Government announces new healthcare plan for all citizens,Real,government announces new healthcare plan citizen,0
Water can cure all diseases says expert,Fake,water cure disease say expert,1
President secretly replaced by body double,Fake,president secretly replaced body double,1
New superfood discovered in Amazon,Fake,new superfood discovered amazon,1
Government hiding truth about alien contact,Fake,government hiding truth alien contact,1
New fabric makes you invisible,Fake,new fabric make invisible,1
Local library launches digital learning program,Real,local library launch digital learning program,0
New product can reverse aging completely,Fake,new product reverse aging completely,1
New smartphone can read your thoughts,Fake,new smartphone read thought,1
Government caught hiding evidence of UFOs,Fake,government caught hiding evidence ufo,1
Government plans to install microchips in citizens,Fake,government plan install microchip citizen,1
City receives grant for affordable housing,Real,city receives grant affordable housing,0
New bike lanes installed in city,Real,new bike lane installed city,0
Smart glasses can see through walls,Fake,smart glass see wall,1
Bank CEO arrested for money laundering,Fake,bank ceo arrested money laundering,1
Scientists discover new treatment for cancer patients,Real,scientist discover new treatment cancer patient,0
Secret military base found on the moon,Fake,secret military base found moon,1
Miracle water cures all diseases,Fake,miracle water cure disease,1
City launches clean energy initiative,Real,city launch clean energy initiative,0
New study proves that Earth is flat,Fake,new study prof earth flat,1
New virus engineered to target specific groups,Fake,new virus engineered target specific group,1
New recycling program reduces waste by 40 percent,Real,new recycling program reduces waste percent,0
New food additive causes memory loss,Fake,new food additive cause memory loss,1
Local hospital receives excellence in care award,Real,local hospital receives excellence care award,0
Local farmers report best harvest in decade,Real,local farmer report best harvest decade,0
New study confirms health benefits of walking,Real,new study confirms health benefit walking,0
New program helps seniors learn technology,Real,new program help senior learn technology,0
New diet allows you to lose 20 pounds in 3 days,Fake,new diet allows lose pound day,1
City council approves new public transport project,Real,city council approves new public transport project,0
Local business creates 100 new jobs in community,Real,local business creates new job community,0
Scientists clone first human being,Fake,scientist clone first human,1
